|    name |       pseudo z |   pseudo z_error | Epeak (siml) [keV] | Epeak_error (siml) [keV] | Luminosity [erg/s] | Luminosity_error [erg/s] |
| 921102B |  6.15007088561 |  0.0650088065735 |      477.528004344 |                      0.0 |  2.42903486357e+53 |         3.7941871921e+51 |
|  921108 |  2.52903503735 |   0.125718571502 |       107.17184813 |                      0.0 |   5.5423849004e+51 |        3.39205831401e+50 |
| 921111A |  11.5221240689 |  0.0824646741789 |      592.380978734 |                      0.0 |  9.21224454582e+53 |        1.04226598028e+52 |
|  921115 |  2.66803641346 |   0.117634681478 |      121.738524988 |                      0.0 |  7.37480976755e+51 |        4.06327039786e+50 |
| 921123A | 0.671016642966 | 0.00828051149671 |      96.0049093494 |                      0.0 |  1.27097450492e+51 |        1.08202273856e+49 |
|  921214 |  17.2961812321 |    0.23784261308 |      392.682950605 |                      0.0 |  8.72006404869e+53 |         1.9474757048e+52 |
|  921219 |  4.36105317433 |  0.0729915840045 |      277.951598941 |                      0.0 |  5.84584574182e+52 |        1.36739247087e+51 |
| 930103A |  1.58502569166 |  0.0502053901006 |      102.068871596 |                      0.0 |  2.98782128504e+51 |        9.96926771021e+49 |
| 930104B |  3.67304636306 |   0.165158307823 |      221.100494413 |                      0.0 |  3.11562351724e+52 |        1.89177058117e+51 |
| 930110B |  1.52102505805 |  0.0328895916027 |      127.336292096 |                      0.0 |  4.18109273595e+51 |        9.37117996296e+49 |
| 930110A | 0.262012593826 | 0.00308682927069 |      35.5717866747 |                      0.0 |  1.42552506362e+50 |        5.99027744976e+47 |
| 930113B |  14.5671542147 |  0.0765756537073 |      655.067249587 |                      0.0 |  1.59169115474e+54 |         1.3451274876e+52 |
|  930124 |  8.72009632886 |   0.115384246872 |      370.135754577 |                      0.0 |  2.65785866351e+53 |        5.42039571262e+51 |
|  930125 |  9.51310417964 |   0.118318856619 |      469.733217659 |                      0.0 |  4.57914223456e+53 |        8.85381185947e+51 |
| 930201A |  3.38404350194 |  0.0495645529912 |      272.831704471 |                      0.0 |  4.00638226585e+52 |        7.78165340012e+50 |
| 930203B |  1.88402865179 |   0.143255284691 |      63.8247736123 |                      0.0 |  1.60937594036e+51 |        1.37338324699e+50 |
| 930203A |  1.79802780038 |   0.141318179508 |      66.4436311209 |                      0.0 |  1.63721986301e+51 |        1.42061427172e+50 |
| 930204A |  5.65606599496 |   0.088954470981 |      334.561576987 |                      0.0 |  1.16552495731e+53 |        2.67605416067e+51 |
| 930206A |  2.32803304743 |  0.0608641989527 |      157.316465841 |                      0.0 |   9.6924721093e+51 |        3.04531344442e+50 |
| 930219E |  11.5591244352 |  0.0810926638047 |      579.675407917 |                      0.0 |  8.92136204857e+53 |        9.89638374265e+51 |
| 930219B |  3.35404320493 |  0.0972607267904 |      182.393757492 |                      0.0 |  1.98272614805e+52 |        7.60905406478e+50 |
|  930220 |  6.87207803348 |   0.077140092794 |       453.96856147 |                      0.0 |  2.62734620065e+53 |        4.42314553004e+51 |
|  930304 |  3.09804067051 |  0.0249824459524 |      397.636315164 |                      0.0 |  6.81755060501e+52 |        7.14019745819e+50 |
| 930305A |  2.70703679957 |  0.0742613010879 |      161.967251465 |                      0.0 |  1.22650741912e+52 |        4.22113260743e+50 |
|  930324 | 0.416014118441 |  0.0161067505898 |      24.8994485004 |                      0.0 |  9.39746229606e+49 |        1.83642882811e+48 |
| 930326A |  3.18104149221 |  0.0299467919375 |      358.633351139 |                      0.0 |  5.90756682795e+52 |        7.26938432974e+50 |
|  930329 | 0.116011148411 | 0.00141192809518 |      13.7915463541 |                      0.0 |  2.28116803044e+49 |          4.958205047e+46 |
| 930405C |  4.94605896589 |   0.127930496282 |      214.587591351 |                      0.0 |  4.47727892311e+52 |        1.65493973366e+51 |
| 930406B |   28.819295311 |   0.108337071414 |      701.025228374 |                      0.0 |  5.46240610725e+54 |        3.40946989442e+52 |
| 930421A |  12.0261290586 |  0.0536646953772 |      779.681452364 |                      0.0 |  1.58061401217e+54 |        1.11872225815e+52 |
| 930425B |  2.50903483935 |  0.0135226284234 |      503.311049994 |                      0.0 |  7.82595400123e+52 |        5.18124209014e+50 |
|  930428 |  1.90002881019 |  0.0125828176195 |       358.12000662 |                      0.0 |  3.14347094353e+52 |        2.34319374437e+50 |
| 930503D |  2.36203338403 |   0.153387922477 |      86.5678008396 |                      0.0 |  3.53454902722e+51 |        2.77042446248e+50 |
| 930506C |   2.0250300477 |  0.0210523185875 |      253.648973884 |                      0.0 |  1.86870349834e+52 |        2.23426045516e+50 |
|  930510 |  2.28003257223 |   0.202902724386 |      71.9860232626 |                      0.0 |  2.46730504599e+51 |        2.62213911073e+50 |
| 930524A |  1.39402380074 |  0.0550370374051 |      76.2311339223 |                      0.0 |  1.58527134144e+51 |        6.26113910134e+49 |
|  930526 | 0.896018870489 |  0.0220495627411 |      75.2754588475 |                      0.0 |  1.03800991615e+51 |        2.07387219032e+49 |
|  930528 | 0.440014356044 |  0.0105049607897 |       35.781994846 |                      0.0 |  1.80414247954e+50 |        2.26110955788e+48 |
|  930529 |  3.28204249212 |   0.131245377302 |      147.787597003 |                      0.0 |   1.3425927811e+52 |        7.06969227159e+50 |
| 930530B | 0.995019850599 |  0.0339151350928 |      62.2889543712 |                      0.0 |  8.18663003054e+50 |        2.39097290008e+49 |
| 930601B |  15.9101675106 |  0.0429433422383 |      1068.06018702 |                      0.0 |   4.2491136482e+54 |        1.85382800661e+52 |
| 930605A |  13.3951426118 |   0.106423253247 |      512.008557138 |                      0.0 |  9.11210545386e+53 |        1.15734397637e+52 |
| 930606B |  2.67603649266 |  0.0251741490358 |      341.312696519 |                      0.0 |  4.35117050445e+52 |        5.11922533227e+50 |
| 930608B | 0.553015474755 |  0.0450502038993 |      21.5266508754 |                      0.0 |  8.57126003036e+49 |        4.27158259187e+48 |
| 930609B |  1.13902127621 |   0.109030955623 |      37.6954904806 |                      0.0 |  3.89750596755e+50 |        3.41306581118e+49 |
| 930614B |  1.19602184052 |   0.132909689241 |      42.8350687511 |                      0.0 |  5.07414930568e+50 |         5.2760194644e+49 |
|  930623 |  4.64905602556 |  0.0972900828522 |      245.366737592 |                      0.0 |  5.16206129211e+52 |        1.52735154179e+51 |
| 930708A |  12.9841385429 |  0.0873866309188 |      557.822532635 |                      0.0 |  1.00447819474e+54 |        1.07838279684e+52 |
| 930719B |  2.84403815588 |  0.0574337972353 |      214.929629682 |                      0.0 |  2.12266905822e+52 |        5.44860456094e+50 |
| 930719A |  6.41607351904 |   0.209632261034 |       217.68365875 |                      0.0 |  6.70825349543e+52 |        3.25774222622e+51 |
| 930721A |  11.2451213266 |  0.0380967681726 |      934.881435826 |                      0.0 |  1.94133659335e+54 |        1.03764558598e+52 |
| 930809A |  13.4961436117 |  0.0858521222387 |      671.483685342 |                      0.0 |  1.46926509407e+54 |        1.49493349582e+52 |
|  930811 |  2.34903325533 |  0.0720390751029 |      148.708463315 |                      0.0 |  8.89405086659e+51 |        3.28678606284e+50 |
|  930824 |  1.61602599856 |  0.0441635966837 |      105.394945294 |                      0.0 |  3.21973855477e+51 |        9.33826398499e+49 |
|  930826 |  7.43108356764 |   0.089503911858 |       384.99995606 |                      0.0 |  2.22681661244e+53 |        4.06131088466e+51 |
| 930903C |  0.20301200972 | 0.00658340889845 |       12.179986022 |                      0.0 |  2.08946632087e+49 |        1.96444286498e+47 |
| 930903A |   1.0070199694 |  0.0466091423085 |      56.3744437606 |                      0.0 |    6.969217791e+50 |        2.78052378011e+49 |
| 930905A | 0.588015821258 | 0.00426807176616 |      131.111270929 |                      0.0 |  1.98764191884e+51 |         9.1777916686e+48 |
|  930911 |  1.74102723607 |  0.0327610618452 |      152.222966531 |                      0.0 |  6.56181566986e+51 |        1.34738529878e+50 |
| 930913A |  4.55005504545 |   0.186417899675 |      170.167792953 |                      0.0 |  2.67076908941e+52 |        1.54116742452e+51 |
| 930922A |   4.0100496994 |    0.25351204231 |      125.991973279 |                      0.0 |  1.33645896938e+52 |        1.16181063989e+51 |
|  931005 |  11.9841286428 |  0.0616994280083 |      686.023212381 |                      0.0 |  1.26158186039e+54 |        1.02992813839e+52 |
| 931013B | 0.390013861039 | 0.00828378202118 |      36.8512802296 |                      0.0 |   1.7863648451e+50 |        1.82895430157e+48 |
| 931014B | 0.384013801638 |  0.0210006634991 |      18.9213586795 |                      0.0 |  5.63088003773e+49 |         1.4678849904e+48 |
| 931021C |  3.17604144271 |   0.123537716915 |      144.108837415 |                      0.0 |  1.23145091844e+52 |        6.25856889693e+50 |
|  931022 |  2.30103278013 |   0.107286894802 |       113.75398817 |                      0.0 |  5.47422113749e+51 |         3.0566262288e+50 |
| 931101B |  6.00106941049 |   0.242745783802 |      181.876292657 |                      0.0 |  4.46172894478e+52 |        2.65774710919e+51 |
| 931101A |  2.10903087931 |  0.0221244708501 |      274.666726886 |                      0.0 |  2.24665466651e+52 |        2.74667540441e+50 |
| 931113B |  0.81301804878 |  0.0168782455134 |       81.582546346 |                      0.0 |  1.10397234697e+51 |        1.76565775757e+49 |
| 931113A |  7.83308754748 |  0.0937352515113 |      427.967784995 |                      0.0 |  2.89360094377e+53 |        5.27536132433e+51 |
|  931120 |  5.24206189632 |   0.104681423684 |      274.116715469 |                      0.0 |  7.41185088863e+52 |        2.13545971405e+51 |
| 931205B |  1.90202882999 |  0.0119378673564 |      372.548016893 |                      0.0 |  3.36958550869e+52 |        2.38135787957e+50 |
|  931211 |  7.95108871569 |   0.104138643358 |      366.987075282 |                      0.0 |  2.27289771904e+53 |        4.54296202467e+51 |
| 931215B |  5.29506242102 |   0.135833794604 |      250.860175847 |                      0.0 |  6.45918085277e+52 |        2.39446446588e+51 |
| 931221A |  3.16804136351 |   0.102419217588 |      162.100036651 |                      0.0 |  1.50190889569e+52 |        6.34039307047e+50 |
| 931229B | 0.368013643236 | 0.00388307430076 |      59.7327545157 |                      0.0 |  3.99276273804e+50 |        1.94707165909e+48 |
|  940108 |  5.54706491585 |   0.120929833356 |      265.918818716 |                      0.0 |  7.63727589898e+52 |        2.42353026037e+51 |
| 940112A |  6.73607668707 |   0.124100077158 |      293.641248588 |                      0.0 |  1.20627070301e+53 |        3.32444555574e+51 |
