|         name |       pseudo z |  pseudo z_error | Epeak (meas) [keV] | Epeak_error (meas) [keV] | Luminosity [erg/s] | Luminosity_error [erg/s] |
| GRB130628860 | 0.868018593286 |  0.094782143359 |           944.1827 |                 156.8917 |  3.98310242251e+52 |        7.16597538062e+51 |
| GRB130622615 |  1.18302171182 |  0.348318257564 |           302.7916 |                 112.2189 |  1.26366418284e+52 |         6.4939296394e+51 |
| GRB130515056 |  0.71201704887 | 0.0865163320842 |           516.3757 |                 83.93607 |  1.77125280034e+52 |        2.86905416455e+51 |
| GRB130504314 |  0.81001801908 | 0.0699259806946 |           1397.064 |                 180.0561 |  5.99879337142e+52 |        8.07607288804e+51 |
| GRB130416770 | 0.951019414994 | 0.0992335393678 |           1137.856 |                 177.2284 |  5.20195510223e+52 |        9.31105831123e+51 |
| GRB130307126 |  1.61302596886 |    0.3822504724 |           1629.743 |                  702.325 |   1.0365087701e+53 |        6.94169531772e+52 |
| GRB121127914 | 0.961019513995 |  0.127545403389 |           1014.578 |                 205.6001 |  4.57981395443e+52 |        1.06747273852e+52 |
| GRB121112806 |  1.53802522635 |  0.360070097046 |           783.0216 |                 276.0405 |  4.57206467261e+52 |        2.54735793215e+52 |
| GRB121012724 |  1.08302072181 |  0.219029495372 |           650.8483 |                 195.3806 |  2.84539199907e+52 |        1.06674360558e+52 |
| GRB121004211 | 0.975019652597 |  0.608304705311 |            74.2396 |                 11.65135 |    2.166633836e+51 |        8.83398175126e+50 |
| GRB120830297 |  1.17802166232 |  0.184188764702 |           919.7049 |                 218.8685 |  4.61947098912e+52 |        1.44093427333e+52 |
| GRB120817168 | 0.741017335973 | 0.0796406674888 |           1068.719 |                  183.417 |  4.24190713952e+52 |        7.12785316059e+51 |
| GRB120811014 | 0.737017296373 | 0.0706264571919 |           815.2886 |                 105.8287 |  3.07097804155e+52 |        4.03753719648e+51 |
| GRB120629565 |  1.08202071191 |  0.462216610114 |           141.7829 |                 80.19988 |  3.67617370266e+51 |        2.67681823964e+51 |
| GRB120624309 |  1.17202160292 | 0.0787935008718 |           4100.756 |                 445.3157 |  2.28413044152e+53 |        3.19127943445e+52 |
| GRB120619884 |  4.85205803528 |   1.70157292227 |           2972.371 |                 2130.581 |  3.91507393059e+53 |        1.02499189108e+54 |
| GRB120612687 | 0.826018177482 |  0.283886593662 |           367.0857 |                  201.617 |  1.04731525159e+52 |        5.98398438915e+51 |
| GRB120608489 |  1.44302428584 |  0.414538514894 |           570.2699 |                  258.122 |  3.03632985871e+52 |        2.04968488381e+52 |
| GRB120603439 |  3.78304745207 |  0.899047537043 |           882.4928 |                 418.0294 |  1.12334490389e+53 |        1.57852564524e+53 |
| GRB120524134 | 0.624016177662 |  0.249485342311 |           89.98893 |                 18.26899 |  2.24483663143e+51 |        5.77299841791e+50 |
| GRB120519721 | 0.848018395284 |   0.21025745973 |           379.9594 |                 140.7736 |  1.31735388583e+52 |        5.23477613578e+51 |
| GRB120222021 |  0.61101604896 |  0.114300323506 |           174.2524 |                 33.97369 |  4.69738523913e+51 |        8.93519172207e+50 |
| GRB120101354 | 0.961019513995 |  0.281994791488 |           185.1624 |                 48.75237 |  6.28626063093e+51 |        2.22828789282e+51 |
| GRB111222619 | 0.561015553956 | 0.0568911551886 |             787.53 |                 121.2393 |  2.59328679043e+52 |        3.42224760283e+51 |
| GRB111207512 |  1.49602481055 |  0.546953738955 |           225.0837 |                 79.76977 |  1.04336759331e+52 |        6.63198617949e+51 |
