|    name |                T-time | T90 [s] | T90_error [s] |    flux | flux_error |  fluence_1 | fluence_1_error |  fluence_2 | fluence_2_error |  fluence_3 | fluence_3_error |  fluence_4 | fluence_4_error |
| 920620C | 1992-06-20 18:13:13.2 |   0.768 |         0.143 |   0.322 |      0.065 | 1.1353e-08 |       4.824e-09 | 8.7934e-09 |      3.6023e-09 | 7.0462e-08 |      9.5658e-09 | 3.1385e-07 |      1.4156e-07 |
| 920622C | 1992-06-22 16:07:20.9 |   0.192 |         0.091 |   0.554 |      0.058 | 7.9047e-09 |      1.8812e-09 | 1.5209e-08 |      1.8638e-09 | 1.1957e-07 |      6.7511e-09 | 9.6683e-07 |       1.579e-07 |
| 920622B | 1992-06-22 06:28:02.9 |   0.419 |         0.142 |   0.183 |      0.044 | 8.7785e-09 |      2.8103e-09 | 1.0132e-08 |       2.366e-09 | 2.6657e-08 |      6.6699e-09 | 9.4368e-08 |      1.1538e-07 |
|  920629 | 1992-06-29 09:06:54.1 |   0.128 |         0.453 |   0.095 |      0.048 |        0.0 |      1.2681e-09 | 3.6931e-09 |      1.4615e-09 | 2.3946e-08 |      4.4759e-09 | 6.7188e-08 |      1.0932e-07 |
| 920711A | 1992-07-11 10:28:12.5 |   0.388 |         0.158 |   0.532 |      0.055 | 1.4568e-08 |      2.1585e-09 | 1.1928e-08 |      2.6897e-09 | 1.2451e-07 |      9.3141e-09 |  4.892e-07 |      1.8565e-07 |
|  920722 | 1992-07-22 21:21:27.2 |   1.047 |         0.161 |   1.192 |      0.059 | 2.1566e-08 |      9.9345e-09 | 2.8183e-08 |      1.0263e-08 |  4.079e-07 |      2.7417e-08 | 1.4261e-06 |      4.3245e-07 |
| 920803B | 1992-08-03 02:10:03.6 |   0.128 |         0.143 |   0.367 |       0.05 | 7.8031e-09 |      1.6456e-09 | 1.6982e-08 |      1.7529e-09 | 5.6317e-08 |      4.5126e-09 |        0.0 |      7.7645e-08 |
| 920804A | 1992-08-04 16:38:53.4 |   0.578 |         0.128 |    0.36 |      0.053 |  3.437e-09 |      3.5268e-09 | 1.5139e-08 |      3.0179e-09 | 7.2205e-08 |      8.6184e-09 | 2.0964e-07 |      9.6221e-08 |
|  920808 | 1992-08-08 03:55:28.8 |   0.576 |         0.143 |   1.811 |      0.068 | 3.5367e-08 |      3.6847e-09 | 7.2355e-08 |      3.9085e-09 | 3.5251e-07 |      1.0132e-08 | 7.3099e-07 |      8.9295e-08 |
| 920811B | 1992-08-11 02:49:58.1 |   1.235 |         0.541 |   0.413 |      0.049 | 2.1633e-08 |      7.4332e-09 | 4.2591e-08 |      8.7116e-09 | 1.5163e-08 |      2.0496e-08 |        0.0 |      3.3348e-07 |
