|    name |                T-time | T90 [s] | T90_error [s] |    flux | flux_error |  fluence_1 | fluence_1_error |  fluence_2 | fluence_2_error |  fluence_3 | fluence_3_error |  fluence_4 | fluence_4_error |
| 941005B | 1994-10-05 11:08:52.3 |   0.096 |         0.011 |   0.196 |      0.039 | 2.0976e-09 |      1.5138e-09 | 4.2419e-09 |       1.648e-09 | 5.2264e-08 |      5.2982e-09 | 3.4477e-07 |      7.3789e-08 |
| 941031A | 1994-10-31 00:47:02.3 |    0.61 |         0.233 |   0.471 |      0.048 | 3.4849e-09 |       3.526e-09 | 1.3241e-08 |       3.887e-09 | 1.1108e-07 |      1.0959e-08 | 1.4112e-07 |      8.8084e-08 |
| 941110B | 1994-11-10 04:44:24.6 |   1.408 |         7.648 |   0.459 |      0.044 | 4.2657e-09 |      7.9446e-09 | 2.5633e-08 |      8.7915e-09 | 1.1156e-07 |      2.3676e-08 | 1.3592e-06 |       2.851e-07 |
|  941113 |   1994-11-13 03:13:23 |   0.078 |         0.014 |   0.257 |      0.039 | 3.4415e-09 |      1.5911e-09 | 9.7276e-09 |       1.743e-09 | 4.8094e-08 |      4.8846e-09 |  9.472e-08 |      4.3037e-08 |
| 941123B | 1994-11-23 18:44:37.5 |   0.256 |         0.143 |   0.456 |      0.137 | 3.3543e-08 |      2.9379e-08 |        0.0 |      1.2837e-08 | 1.4681e-07 |      2.5731e-08 | 2.7599e-08 |      1.2219e-07 |
| 941126E | 1994-11-26 03:55:13.4 |   0.272 |         0.023 |   0.766 |      0.056 | 1.8407e-08 |      3.9546e-09 | 2.9969e-08 |      4.2055e-09 | 1.4965e-07 |      1.2742e-08 | 6.1387e-07 |      1.6938e-07 |
|  941203 | 1994-12-03 17:16:26.7 |   0.512 |         0.091 |   0.263 |      0.045 | 1.5665e-08 |      4.8977e-09 | 1.0687e-08 |      3.4509e-09 |  4.742e-08 |      9.5067e-09 | 2.2668e-07 |      1.6099e-07 |
|  941218 |   1994-12-18 11:40:27 |   0.448 |         0.115 |   0.559 |       0.04 |        0.0 |      1.9813e-09 | 1.8105e-08 |       3.062e-09 | 1.3391e-07 |      1.0239e-08 | 3.7932e-07 |        9.36e-08 |
| 941229A | 1994-12-29 14:19:01.6 |   0.052 |         0.016 |   0.094 |      0.043 | 1.3013e-09 |      1.0893e-09 | 5.3703e-09 |      1.0662e-09 | 1.9793e-08 |      3.1931e-09 | 1.2206e-08 |      2.0563e-08 |
| 941230A | 1994-12-30 18:39:44.6 |   1.254 |          0.08 |   0.399 |       0.04 | 1.0877e-08 |      6.0906e-09 | 1.1988e-08 |      5.1343e-09 | 1.0201e-07 |      1.3018e-08 | 5.5887e-07 |      1.8029e-07 |
|  950101 |   1995-01-01 01:33:01 |   0.108 |         0.016 |   0.253 |      0.041 |  7.115e-09 |      1.5023e-09 | 1.5199e-08 |      1.7987e-09 | 4.2207e-08 |      5.1074e-09 |        0.0 |      4.5723e-08 |
| 950102A | 1995-01-02 07:36:27.6 |   1.016 |         0.421 |   0.796 |      0.049 | 2.8174e-08 |      3.5792e-09 | 3.4327e-08 |      3.6596e-09 | 1.4325e-07 |      1.0573e-08 | 3.3893e-07 |      1.3229e-07 |
|  950103 | 1995-01-03 16:10:19.4 |   0.116 |          0.02 |   0.122 |      0.035 | 6.2638e-10 |      1.4254e-09 | 6.0617e-09 |      1.5065e-09 | 4.2638e-08 |      5.4053e-09 |  3.304e-07 |      5.8628e-08 |
|  950108 | 1995-01-08 02:04:20.7 |   0.384 |         0.091 |   0.699 |      0.045 | 1.0189e-08 |      3.6341e-09 | 2.9171e-08 |      3.6808e-09 |  1.351e-07 |      9.6898e-09 | 1.0857e-07 |      7.2171e-08 |
| 950115B |   1995-01-15 23:39:38 |   0.344 |         0.025 |   0.891 |      0.048 | 2.5716e-08 |      4.5828e-09 | 2.4573e-08 |      3.5631e-09 | 1.9531e-07 |      1.0495e-08 |  3.207e-07 |       1.137e-07 |
| 950129B | 1995-01-29 22:04:30.9 |   0.608 |         0.051 |   0.874 |      0.052 | 1.9221e-08 |      3.9215e-09 | 2.9937e-08 |      3.9005e-09 | 1.8026e-07 |      1.1496e-08 | 1.7756e-07 |      1.0258e-07 |
|  950130 | 1995-01-30 21:12:40.2 |   0.056 |         0.028 |   0.213 |      0.038 |        0.0 |      5.2763e-10 | 3.4935e-09 |      8.7031e-10 | 2.1545e-08 |      2.9367e-09 |        0.0 |        1.69e-08 |
|  950210 | 1995-02-10 02:20:21.6 |   0.116 |         0.006 |   2.533 |      0.052 |  6.952e-08 |      3.0306e-09 | 1.3063e-07 |      3.4227e-09 | 3.9982e-07 |      7.8596e-09 | 4.5809e-08 |      2.2174e-08 |
| 950211B | 1995-02-11 02:24:57.8 |   0.068 |         0.006 |   5.632 |      0.073 | 8.7024e-08 |      3.2313e-09 | 1.8675e-07 |      4.5308e-09 | 1.1881e-06 |      1.4688e-08 | 2.6412e-06 |      9.0839e-08 |
| 950221A | 1995-02-21 23:43:20.5 |   0.344 |         0.064 |   0.169 |       0.04 | 1.4151e-09 |      2.9077e-09 | 1.0888e-09 |       3.205e-09 | 4.8334e-08 |      8.9879e-09 | 8.9254e-08 |      1.2792e-07 |
| 950225A |   1995-02-25 17:09:38 |    0.24 |         0.115 |   0.378 |       1.29 | 4.2762e-09 |      2.3249e-08 | 1.1336e-08 |      2.4669e-08 | 5.8132e-08 |      7.3873e-08 | 4.8857e-08 |      7.1691e-07 |
|  950321 | 1995-03-21 03:26:02.7 |   1.461 |         0.326 |   0.508 |      0.047 | 1.3827e-08 |      6.7288e-09 | 1.6634e-08 |      6.6187e-09 | 1.4863e-07 |      1.9974e-08 |   2.83e-07 |      2.7814e-07 |
|  950328 |   1995-03-28 21:39:54 |   0.642 |         0.196 |   0.301 |      0.043 | 4.0278e-09 |      4.0742e-09 | 6.7841e-09 |      3.2242e-09 | 7.3042e-08 |      9.9629e-09 |   2.92e-07 |      1.4186e-07 |
| 950405B | 1995-04-05 10:20:19.1 |   1.408 |         0.091 |   0.392 |      0.047 | 5.0443e-08 |      1.3458e-08 | 2.7917e-08 |      8.5415e-09 | 8.8195e-08 |      2.2368e-08 | 5.3924e-07 |      4.4457e-07 |
|  950410 | 1995-04-10 19:00:16.4 |   0.416 |         0.023 |   0.853 |      0.046 |  9.461e-09 |      3.9681e-09 | 2.4342e-08 |      3.5054e-09 | 1.9679e-07 |      1.0591e-08 | 4.6721e-07 |      1.0316e-07 |
| 950416A | 1995-04-16 22:52:38.4 |   0.266 |         0.218 |    0.31 |      0.038 | 5.4518e-09 |      2.6041e-09 | 9.0827e-09 |      2.9731e-09 | 6.7586e-08 |      8.2384e-09 | 1.8899e-08 |       6.482e-08 |
|  950502 |   1995-05-02 01:46:45 |     1.6 |         0.091 |   0.655 |      0.045 | 7.3272e-08 |      7.2118e-09 | 6.7801e-08 |      5.0348e-09 | 5.2348e-08 |       1.096e-08 | 6.2827e-07 |      2.3821e-07 |
|  950505 | 1995-05-05 12:33:13.9 |   1.439 |          0.08 |   0.889 |      0.047 | 2.2226e-08 |      4.3725e-09 | 2.8158e-08 |      4.7734e-09 | 2.7434e-07 |      1.4398e-08 | 1.2818e-06 |      2.1612e-07 |
|  950529 | 1995-05-29 10:14:53.6 |   1.824 |         0.066 |   2.721 |      0.059 | 4.8055e-08 |      5.4787e-09 | 9.0174e-08 |      6.1463e-09 | 6.9124e-07 |      1.8203e-08 | 1.5363e-06 |      1.9377e-07 |
| 950611A | 1995-06-11 13:06:09.8 |   0.228 |         0.036 |   0.287 |       0.04 | 1.1256e-08 |      2.0325e-09 |  1.655e-08 |       1.841e-09 |  3.361e-08 |      4.4938e-09 | 6.3647e-08 |      4.4649e-08 |
|  950612 | 1995-06-12 16:29:42.4 |   0.704 |         0.091 |   1.336 |      0.052 |  2.737e-08 |      3.6379e-09 | 6.0079e-08 |      4.1161e-09 |  2.429e-07 |      1.1301e-08 | 4.2963e-07 |      9.8134e-08 |
|  950620 | 1995-06-20 00:44:33.9 |   0.776 |         0.033 |   2.802 |      0.064 | 8.7906e-08 |      4.9486e-09 | 1.5985e-07 |      5.1943e-09 | 4.0804e-07 |      1.3052e-08 | 3.8789e-07 |         9.2e-08 |
|  950714 | 1995-07-14 01:43:06.9 |   0.076 |         0.003 |    1.01 |      0.051 | 8.5897e-09 |      1.9295e-09 | 2.2893e-08 |      2.3841e-09 | 2.4943e-07 |       8.348e-09 | 1.2039e-06 |      8.6074e-08 |
|  950716 | 1995-07-16 23:02:30.7 |   0.176 |           0.1 |    0.62 |      0.047 | 1.3077e-08 |      2.3624e-09 | 1.3616e-08 |      1.9695e-09 | 1.2321e-07 |      7.1941e-09 | 2.7884e-06 |      1.8367e-07 |
|  950801 |   1995-08-01 07:56:19 |   0.384 |         0.091 |    0.66 |      0.047 | 2.9236e-08 |       4.889e-09 | 2.6881e-08 |      3.7224e-09 |  1.205e-07 |      9.4911e-09 | 2.3296e-07 |      1.0212e-07 |
|  950802 | 1995-08-02 05:43:17.9 |   0.536 |         0.241 |   0.347 |      0.042 | 4.3299e-09 |      2.7678e-09 | 1.5812e-08 |      3.3025e-09 | 6.4103e-08 |      9.3294e-09 | 2.6146e-08 |      6.5711e-08 |
| 950804B | 1995-08-04 12:36:16.7 |   1.301 |         0.091 |   2.161 |      0.056 | 2.7136e-08 |      4.6444e-09 | 5.5077e-08 |      5.0549e-09 | 5.4575e-07 |      1.5797e-08 | 3.5387e-06 |      2.3075e-07 |
| 950805B | 1995-08-05 10:24:31.2 |    0.32 |         0.082 |   0.726 |       0.05 | 1.3097e-08 |      3.2813e-09 | 2.8638e-08 |        3.79e-09 | 1.4485e-07 |      1.1398e-08 | 7.6989e-07 |      1.4928e-07 |
| 950805A | 1995-08-05 03:44:14.5 |    0.56 |         0.125 |   3.971 |      0.071 | 8.3461e-08 |      4.5287e-09 | 1.4718e-07 |       5.181e-09 | 8.0545e-07 |      1.6612e-08 | 4.0209e-06 |      1.9437e-07 |
| 950806B | 1995-08-06 20:09:08.8 |   0.448 |         0.091 |   0.378 |      0.048 | 2.7333e-09 |      3.2207e-09 | 6.0217e-09 |      3.6003e-09 | 1.0111e-07 |      1.1464e-08 | 7.0268e-07 |       1.884e-07 |
|  950810 | 1995-08-10 03:00:08.5 |   0.535 |         0.264 |    0.87 |      0.049 | 4.8612e-09 |      2.8524e-09 | 3.2657e-08 |      3.9161e-09 | 1.9034e-07 |      1.1702e-08 | 3.8145e-07 |      8.9699e-08 |
| 950830A | 1995-08-30 04:14:04.6 |   0.544 |         0.036 |   1.259 |      0.049 | 1.3452e-08 |      3.0871e-09 | 4.0228e-08 |      3.7424e-09 | 2.8123e-07 |      1.1628e-08 | 7.1021e-07 |      1.1165e-07 |
| 950901B | 1995-09-01 23:39:25.5 |   0.219 |         0.088 |   0.219 |      0.045 | 1.1791e-08 |      2.0858e-09 | 1.1422e-08 |      1.7956e-09 | 2.9922e-08 |      5.2074e-09 |        0.0 |      5.5163e-08 |
| 950908A |   1995-09-08 08:26:22 |    0.16 |         0.029 |   0.173 |      0.036 | 5.2929e-09 |      1.9222e-09 | 7.7021e-09 |      1.5208e-09 | 2.4249e-08 |      4.0009e-09 | 1.1744e-10 |      2.0502e-08 |
| 950911A | 1995-09-11 14:44:14.9 |   0.336 |         0.023 |   0.687 |      0.044 |   1.86e-08 |      3.8276e-09 | 1.8386e-08 |      3.0832e-09 |  1.549e-07 |      1.0437e-08 |  1.466e-06 |       2.276e-07 |
| 950914A |   1995-09-14 19:40:21 |   0.096 |         0.129 |   0.141 |      0.043 | 8.0002e-09 |       1.792e-09 | 3.8098e-09 |      1.6827e-09 | 3.1792e-08 |      5.0526e-09 |        0.0 |      2.6639e-08 |
|  950920 | 1995-09-20 18:04:46.4 |   0.076 |         0.013 |   0.316 |       0.05 | 1.4371e-09 |      1.4675e-09 | 8.0799e-09 |      1.9683e-09 | 5.5694e-08 |      6.8519e-09 | 1.7532e-07 |      7.1595e-08 |
| 951014B | 1995-10-14 22:48:20.8 |   0.939 |         0.129 |   1.302 |       0.06 | 1.9492e-08 |      3.3638e-09 | 4.2905e-08 |      4.3285e-09 | 2.8301e-07 |      1.4175e-08 | 1.2036e-06 |      1.7498e-07 |
| 951015A | 1995-10-15 12:53:02.8 |   0.128 |         0.091 |   0.215 |      0.037 | 5.8416e-09 |      1.9849e-09 | 9.0151e-09 |      1.5747e-09 | 2.6221e-08 |      4.3177e-09 | 1.0829e-07 |      5.6701e-08 |
| 951030B | 1995-10-30 11:23:40.6 |   1.736 |         0.202 |   0.971 |      0.047 |  4.095e-08 |      7.6609e-09 | 4.3943e-08 |       5.912e-09 | 2.0513e-07 |       1.545e-08 | 1.3745e-06 |      2.4225e-07 |
|  951101 | 1995-11-01 10:04:01.7 |    0.06 |         0.006 |    0.22 |      0.048 | 3.2356e-09 |      1.0414e-09 |   6.71e-09 |      1.1783e-09 | 4.8663e-08 |      3.8668e-09 | 1.5971e-07 |      3.7987e-08 |
| 951104B | 1995-11-04 17:35:03.6 |   0.768 |         0.091 |   0.327 |      0.046 | 7.9631e-09 |      4.7634e-09 | 1.4285e-08 |      3.5637e-09 | 5.9184e-08 |      1.0079e-08 | 4.2483e-08 |      8.6494e-08 |
| 951104A | 1995-11-04 05:33:06.9 |   1.483 |         0.311 |   0.343 |      0.043 | 1.1007e-08 |       6.088e-09 | 1.5298e-08 |      4.8651e-09 | 7.2026e-08 |      1.1948e-08 | 2.0175e-07 |      1.4192e-07 |
|  951110 | 1995-11-10 23:09:46.8 |   0.192 |         0.091 |   1.047 |      0.045 | 1.7463e-08 |      2.0065e-09 | 2.9336e-08 |      2.2622e-09 | 2.3791e-07 |      7.1213e-09 | 9.8472e-07 |      6.9129e-08 |
| 951112A | 1995-11-12 14:02:14.1 |   0.036 |          0.01 |    0.15 |      0.042 | 1.4383e-09 |      7.4388e-10 | 3.0997e-09 |      8.8079e-10 | 1.3944e-08 |      2.9082e-09 | 6.9525e-08 |       4.153e-08 |
| 951117A | 1995-11-17 16:58:00.5 |   0.088 |         0.018 |   0.241 |      0.043 | 1.0153e-08 |      1.9137e-09 | 1.6047e-08 |      1.9562e-09 | 2.5923e-08 |      4.8374e-09 | 8.3557e-09 |      3.4393e-08 |
| 951124A | 1995-11-24 10:48:53.1 |   0.132 |         0.029 |   0.175 |      0.037 | 6.1947e-10 |      9.9131e-10 | 9.6015e-09 |       1.621e-09 | 2.0575e-08 |      4.8761e-09 | 2.2422e-08 |      3.5256e-08 |
|  951125 | 1995-11-25 00:31:36.6 |   0.464 |         0.161 |    1.15 |      0.046 | 7.4526e-09 |      3.5307e-09 | 2.6496e-08 |      3.3069e-09 | 2.8999e-07 |      1.1655e-08 | 1.0218e-06 |      1.2542e-07 |
|  951209 | 1995-12-09 19:38:05.7 |   1.717 |         0.066 |   1.508 |      0.051 | 1.4975e-07 |       8.828e-09 | 1.3214e-07 |      6.1877e-09 | 1.4027e-07 |      1.4153e-08 | 5.2575e-07 |      2.0049e-07 |
| 951211B | 1995-12-11 05:55:59.1 |   0.576 |         0.091 |   1.048 |      0.046 | 2.8306e-08 |      3.5619e-09 | 4.9347e-08 |      3.6549e-09 | 1.7976e-07 |      9.5008e-09 |  1.081e-07 |      6.8207e-08 |
|  960112 | 1996-01-12 07:31:58.9 |   0.128 |         0.091 |   0.858 |      0.045 | 1.2558e-08 |      2.0414e-09 | 3.2554e-08 |      2.2611e-09 | 1.6686e-07 |       6.353e-09 | 1.8066e-07 |      4.0518e-08 |
|  960130 | 1996-01-30 02:25:58.7 |   1.168 |          0.08 |   2.944 |      0.061 | 5.7502e-08 |       5.849e-09 | 8.6647e-08 |      5.2684e-09 | 8.3597e-07 |      1.8192e-08 |  3.396e-06 |      2.2279e-07 |
| 960205B |   1996-02-05 07:10:03 |   0.128 |         0.091 |   0.268 |      0.041 | 4.9026e-09 |      1.7306e-09 | 1.1568e-08 |       1.653e-09 | 3.8154e-08 |      5.2986e-09 | 8.9304e-08 |      6.3483e-08 |
|  960207 | 1996-02-07 16:11:42.7 |   0.448 |         0.091 |   1.435 |       0.05 | 2.8809e-08 |      3.0176e-09 | 4.8194e-08 |      3.5196e-09 | 3.0391e-07 |      1.1851e-08 |  1.383e-06 |      1.7582e-07 |
|  960209 | 1996-02-09 20:43:47.2 |   0.192 |         0.091 |   0.115 |      0.037 | 2.2038e-09 |      1.7129e-09 |  1.497e-09 |      1.5391e-09 | 3.7991e-08 |       5.398e-09 | 2.5502e-07 |      8.5817e-08 |
|  960214 | 1996-02-14 18:37:53.3 |   0.384 |         0.091 |   0.377 |      0.041 | 4.4165e-09 |      3.3207e-09 | 1.1845e-08 |      3.3832e-09 | 8.2989e-08 |      9.0362e-09 | 5.4925e-08 |      6.4702e-08 |
|  960220 | 1996-02-20 21:14:14.3 |   0.464 |         0.036 |   0.934 |      0.049 | 2.8424e-08 |      3.1643e-09 | 3.3772e-08 |      3.5275e-09 | 1.8476e-07 |      1.1071e-08 |  3.338e-07 |      1.3154e-07 |
| 960229B |   1996-02-29 22:37:03 |   1.184 |         0.304 |   0.428 |      0.041 | 8.1761e-09 |      4.1542e-09 | 1.9553e-08 |      4.3797e-09 | 8.2058e-08 |      1.1895e-08 | 2.6315e-07 |      1.5082e-07 |
|  960311 | 1996-03-11 18:44:58.6 |   0.304 |         0.023 |   0.869 |       0.05 |   1.01e-08 |      3.0272e-09 | 2.6206e-08 |      3.6265e-09 | 1.9972e-07 |       1.219e-08 | 2.3739e-06 |       2.117e-07 |
|  960312 | 1996-03-12 12:47:15.1 |   0.384 |         0.097 |    0.63 |      0.053 | 5.1889e-09 |      2.9105e-09 | 2.1877e-08 |      3.8772e-09 | 1.3925e-07 |       1.314e-08 | 5.6832e-07 |      1.6254e-07 |
|  960319 | 1996-03-19 14:26:33.1 |   0.496 |         0.023 |    2.53 |      0.057 | 2.5241e-08 |      3.2752e-09 | 7.5374e-08 |      4.1403e-09 | 5.8295e-07 |      1.3867e-08 | 2.2916e-06 |      1.4372e-07 |
| 960325A | 1996-03-25 19:24:53.1 |   0.832 |         0.091 |   4.519 |      0.067 |  7.559e-08 |      4.5292e-09 | 1.2747e-07 |      4.8153e-09 | 1.0326e-06 |      1.5985e-08 | 7.9519e-06 |      2.0067e-07 |
|  960426 | 1996-04-26 06:37:58.3 |   0.896 |         0.059 |   0.765 |      0.042 | 2.1613e-09 |      2.3697e-09 | 1.1487e-08 |      3.1375e-09 | 2.1592e-07 |      1.0644e-08 | 8.3694e-07 |      1.2158e-07 |
|  960507 | 1996-05-07 23:35:59.7 |   0.985 |         0.324 |   0.406 |      0.041 | 5.8335e-09 |      2.7672e-09 | 2.0129e-08 |      3.2265e-09 | 7.1293e-08 |      9.1497e-09 | 1.2713e-07 |      8.6401e-08 |
|  960512 | 1996-05-12 21:07:12.6 |   0.024 |         0.011 |   0.073 |      0.044 | 6.5765e-09 |      1.3006e-09 | 6.5391e-09 |        1.08e-09 | 9.1053e-09 |      2.5451e-09 |        0.0 |      3.4192e-08 |
|  960513 | 1996-05-13 22:17:39.7 |   0.336 |         0.145 |   0.212 |      0.042 | 8.5654e-09 |      3.6982e-09 | 1.0389e-08 |      3.3625e-09 |   3.44e-08 |       8.474e-09 |        0.0 |      1.0322e-07 |
|  960515 | 1996-05-15 00:33:56.1 |   1.408 |         0.143 |   0.847 |      0.042 | 9.8048e-09 |      5.1132e-09 | 4.0334e-08 |      6.7692e-09 | 2.5107e-07 |      2.0395e-08 | 1.9191e-07 |      1.8153e-07 |
| 960523B | 1996-05-23 11:10:12.2 |   1.504 |         0.051 |   1.144 |      0.049 | 1.5083e-08 |      4.2267e-09 | 5.8592e-08 |      5.2267e-09 | 3.1911e-07 |      1.5407e-08 | 3.0621e-07 |      1.2064e-07 |
| 960524C | 1996-05-24 02:23:12.6 |   1.758 |         0.023 |   2.103 |      0.054 | 5.0828e-08 |      5.5268e-09 | 5.4876e-08 |      5.7192e-09 | 7.5339e-07 |      1.8363e-08 | 1.0969e-05 |      3.7642e-07 |
| 960607A | 1996-06-07 06:08:42.1 |   0.192 |         0.045 |   0.184 |      0.038 | 8.8859e-10 |       1.224e-09 | 5.9426e-09 |      1.6638e-09 | 4.0882e-08 |      5.0309e-09 | 2.0516e-08 |      3.2556e-08 |
| 960608B | 1996-06-08 19:21:42.4 |   0.144 |         0.025 |   0.395 |      0.041 | 7.4868e-09 |      1.7146e-09 | 1.4078e-08 |      1.8472e-09 |  4.748e-08 |      4.9516e-09 |        0.0 |      3.6862e-08 |
| 960615B | 1996-06-15 04:07:02.3 |   0.769 |          0.21 |   0.229 |      0.041 | 1.5935e-09 |      2.6143e-09 |  8.101e-09 |      3.0916e-09 | 5.0429e-08 |           1e-08 | 9.7819e-08 |       1.005e-07 |
| 960615A | 1996-06-15 23:58:35.9 |   0.624 |         0.025 |   0.693 |      0.044 | 1.1151e-08 |       2.835e-09 | 2.2821e-08 |       3.271e-09 | 1.4983e-07 |       1.023e-08 |  6.324e-07 |      1.4507e-07 |
| 960616C | 1996-06-16 07:04:04.2 |   0.136 |         0.164 |   0.708 |      0.048 | 1.4595e-08 |      2.2577e-09 | 1.7894e-08 |      2.1387e-09 | 1.5707e-07 |      6.6388e-09 | 1.9535e-07 |      5.8162e-08 |
| 960616B | 1996-06-16 18:28:15.6 |   0.064 |         0.091 |   0.288 |      0.045 | 4.4711e-09 |      1.4894e-09 | 2.4493e-09 |      1.7986e-09 | 7.1393e-08 |      6.4105e-09 | 4.3071e-06 |      2.1812e-07 |
| 960616A | 1996-06-16 13:15:03.2 |   0.384 |         0.091 |   0.417 |      0.043 | 1.0373e-08 |       2.989e-09 | 2.2081e-08 |      3.3816e-09 | 6.5725e-08 |      9.3241e-09 |        0.0 |      7.6715e-08 |
| 960703B | 1996-07-03 18:10:40.3 |    0.82 |         0.008 |   3.256 |      0.058 | 4.1433e-08 |      3.6872e-09 | 7.5466e-08 |      4.2096e-09 |   7.95e-07 |      1.3843e-08 | 5.8279e-06 |      1.6956e-07 |
|  960704 | 1996-07-04 16:08:36.2 |   0.855 |         0.075 |   0.833 |      0.045 | 1.4106e-08 |      2.9711e-09 | 2.7707e-08 |      3.4296e-09 |  1.794e-07 |       1.036e-08 | 1.0581e-06 |      1.4217e-07 |
|  960705 | 1996-07-05 00:49:43.2 |   1.015 |         0.129 |   1.252 |      0.054 |   1.94e-08 |      3.2045e-09 | 4.3491e-08 |      4.0463e-09 | 2.6281e-07 |      1.2343e-08 | 3.0405e-07 |      1.0411e-07 |
| 960708B | 1996-07-08 15:05:06.1 |   0.768 |         0.091 |   2.747 |      0.064 | 3.8379e-08 |      4.3837e-09 |  5.113e-08 |       4.535e-09 | 6.9545e-07 |      1.5459e-08 | 4.4078e-06 |      2.1244e-07 |
|  960710 | 1996-07-10 10:44:46.7 |   0.048 |         0.011 |   0.121 |       0.04 | 5.3933e-09 |      1.1243e-09 | 6.0169e-09 |       1.073e-09 |  2.169e-08 |      2.8467e-09 |        0.0 |      2.2186e-08 |
| 960713A | 1996-07-13 17:15:23.2 |   0.448 |         0.091 |   0.328 |      0.043 | 5.3176e-09 |      3.6791e-09 | 9.4752e-09 |      3.1864e-09 | 7.3797e-08 |      9.9788e-09 | 2.2691e-07 |      1.2702e-07 |
| 960722B | 1996-07-22 04:08:31.6 |   0.896 |         0.143 |   1.135 |      0.054 | 3.0062e-08 |      5.3227e-09 | 1.8365e-08 |      3.9995e-09 | 2.8414e-07 |      1.2263e-08 | 1.7416e-06 |       1.896e-07 |
| 960731B |   1996-07-31 03:22:53 |   1.511 |         0.109 |   0.891 |      0.047 | 4.9773e-08 |       6.761e-09 | 6.0206e-08 |      5.2232e-09 | 1.4857e-07 |      1.4578e-08 |        0.0 |      9.5508e-08 |
| 960803B | 1996-08-03 08:40:12.9 |    0.49 |         0.068 |   0.311 |      0.041 |        0.0 |      3.3986e-09 |  9.853e-09 |      3.1949e-09 | 7.2663e-08 |      9.8989e-09 | 1.5369e-07 |      8.5359e-08 |
| 960803A | 1996-08-03 18:45:22.4 |   0.104 |         0.011 |   1.867 |      0.056 | 8.1475e-08 |       3.282e-09 | 1.1974e-07 |      3.3356e-09 | 2.2166e-07 |      7.2331e-09 | 2.5711e-08 |       2.957e-08 |
| 960804A | 1996-08-04 19:32:40.8 |    0.16 |         0.036 |   0.414 |      0.038 | 3.8654e-09 |      1.4378e-09 | 9.3716e-09 |      1.6986e-09 | 9.0508e-08 |      5.7286e-09 | 2.6384e-07 |      6.0449e-08 |
|  960805 | 1996-08-05 21:29:07.1 |   0.448 |         0.184 |   0.721 |      0.047 | 1.2335e-08 |      3.3566e-09 | 1.8526e-08 |      3.4886e-09 | 1.6909e-07 |      1.0875e-08 | 1.5425e-06 |       1.878e-07 |
|  960816 | 1996-08-16 02:16:07.2 |   0.192 |         0.097 |   0.183 |      0.051 | 1.2405e-09 |       1.946e-09 | 6.1397e-09 |      2.2344e-09 | 4.3255e-08 |      6.6875e-09 | 1.3678e-07 |       5.857e-08 |
|  00010B | 2000-01-08 16:48:07.3 |   1.039 |         0.072 |  7.1449 |     0.0827 |  2.253e-07 |      6.0686e-09 | 4.0968e-07 |      7.0091e-09 | 1.0276e-06 |      1.8371e-08 | 3.5734e-07 |      1.0907e-07 |
|  00011C | 2000-01-14 20:17:31.9 |   0.579 |         0.035 |  0.5012 |     0.0463 | 1.1344e-08 |      3.9449e-09 | 1.6842e-08 |      3.5761e-09 |    9.5e-08 |      9.9703e-09 |        0.0 |      8.3572e-08 |
|  00012C | 2000-01-26 13:21:51.4 |   0.387 |         0.616 |  0.4593 |     0.0407 | 2.0855e-08 |      3.4191e-09 |  2.356e-08 |      3.0981e-09 | 6.0876e-08 |      7.9553e-09 | 3.7955e-08 |      7.2604e-08 |
|  00020D |   2000-02-03 10:27:50 |    0.24 |         0.074 |  0.5773 |     0.0435 | 7.8013e-09 |      3.2469e-09 | 2.3041e-08 |       3.471e-09 | 1.0077e-07 |      9.4939e-09 | 8.3804e-08 |      7.3371e-08 |
|  00021D |   2000-02-13 21:52:39 |   0.413 |         0.214 |  0.8455 |      0.053 | 1.2822e-08 |      3.3077e-09 | 2.8001e-08 |      3.7565e-09 | 1.6584e-07 |      1.2498e-08 | 7.7251e-07 |      1.8638e-07 |
|  00022G | 2000-02-22 13:44:26.7 |   0.608 |         0.477 |  0.4144 |     0.0453 | 9.8801e-09 |      3.7814e-09 | 9.8569e-09 |      3.4044e-09 | 8.6184e-08 |      9.4949e-09 | 5.8278e-07 |      1.6252e-07 |
|  00022D | 2000-02-26 10:12:52.6 |   0.527 |         0.043 |  0.3733 |     0.0449 | 1.3608e-09 |      2.5301e-09 | 1.0046e-08 |      3.3292e-09 | 8.6198e-08 |      1.0421e-08 | 1.0798e-08 |      6.3214e-08 |
|  00030B | 2000-03-06 12:14:36.6 |   0.128 |         0.091 |  0.3712 |     0.0447 | 1.0546e-08 |      3.3026e-09 | 1.1445e-08 |      3.1275e-09 | 7.1406e-08 |      9.7708e-09 | 1.6952e-07 |       1.283e-07 |
|  00031H | 2000-03-10 15:07:14.6 |   1.536 |         0.091 |  1.4449 |     0.0487 | 4.8129e-08 |      5.7976e-09 | 5.7076e-08 |      4.7381e-09 | 4.1125e-07 |      1.5058e-08 | 5.0844e-06 |      3.1324e-07 |
|  00031D | 2000-03-13 21:13:04.1 |   0.768 |         0.458 |   0.391 |     0.0488 | 7.4891e-09 |       3.659e-09 | 7.4382e-09 |      3.6121e-09 | 8.9324e-08 |      1.0408e-08 | 2.2502e-07 |       1.549e-07 |
