|         name |            T-time [hrs] | T90 [s] | T90_error [s] |         flux |   flux_error |      fluence | fluence_error |
| GRB110717180 |                   4.331 |   0.112 |         0.072 | 5.439861e-06 | 4.952361e-07 |   1.1782e-08 |    1.1782e-08 |
| GRB110705151 |                    3.62 |   0.192 |         0.036 | 2.176787e-05 | 9.404433e-07 |   2.5068e-08 |    2.5068e-08 |
| GRB110605780 |                  18.714 |   1.536 |         1.056 | 1.159103e-06 | 3.920667e-07 |   2.1171e-08 |    2.1171e-08 |
| GRB110529034 |                   0.812 |   0.512 |         0.091 | 1.511914e-05 |  6.95029e-07 |   1.3262e-08 |    1.3262e-08 |
| GRB110517453 |                  10.877 |   0.576 |          1.81 | 1.421862e-06 | 4.020715e-07 |   2.3388e-08 |    2.3388e-08 |
| GRB110509475 |                  11.404 |    0.64 |         0.779 | 2.149582e-06 | 2.515837e-07 |   1.4622e-08 |    1.4622e-08 |
| GRB110424758 |                  18.194 |   0.672 |          1.12 | 1.495628e-06 | 2.504562e-07 |    9.322e-09 |     9.322e-09 |
| GRB110420946 |                  22.703 |   0.128 |         0.516 | 3.198079e-06 | 5.742274e-07 |   2.7347e-08 |    2.7347e-08 |
| GRB110409179 |                   4.289 |   0.128 |         0.143 | 3.272514e-06 | 4.131833e-07 |   1.0647e-08 |    1.0647e-08 |
| GRB110227009 |                   0.208 |   1.728 |         0.653 | 5.412436e-07 | 1.758752e-07 |   1.0133e-08 |    1.0133e-08 |
| GRB110213876 |                  21.014 |    0.32 |          0.81 |  1.21156e-06 | 2.814363e-07 |    1.531e-08 |     1.531e-08 |
| GRB110212550 |                  13.209 |   0.064 |         0.036 | 3.907675e-06 | 4.339336e-07 |   1.2257e-08 |    1.2257e-08 |
| GRB101216721 |                  17.298 |   1.917 |         0.551 | 2.419981e-06 | 9.890108e-08 |   6.7826e-08 |    6.7826e-08 |
| GRB101208203 |                   4.882 |   0.192 |         1.478 | 1.238255e-06 | 2.720902e-07 |   1.5853e-08 |    1.5853e-08 |
| GRB101204343 |                   8.239 |   0.128 |         0.091 |  2.64072e-06 | 3.833308e-07 |   1.4922e-08 |    1.4922e-08 |
| GRB101129726 |                  17.424 |   0.576 |         0.143 | 4.509072e-06 | 4.386906e-07 |   2.6114e-08 |    2.6114e-08 |
| GRB101129652 |                  15.659 |   0.384 |         0.143 | 5.883524e-06 | 5.683975e-07 |   4.4333e-08 |    4.4333e-08 |
| GRB101104810 |                  19.437 |    1.28 |         0.572 |  2.85803e-06 | 5.679289e-07 |    2.536e-08 |     2.536e-08 |
| GRB101031625 |                  14.992 |   0.384 |         0.462 | 2.445433e-06 | 5.358539e-07 |   2.9126e-08 |    2.9126e-08 |
| GRB101027230 |                   5.509 |   1.344 |         1.802 | 1.172383e-06 | 3.010783e-07 |   8.7545e-09 |    8.7545e-09 |
| GRB101026034 |                   0.821 |   0.256 |         0.091 | 2.865051e-06 | 3.121084e-07 |   2.2628e-08 |    2.2628e-08 |
| GRB100827455 |                   10.93 |   0.576 |         0.389 | 9.203968e-06 | 6.713755e-07 |   2.2402e-08 |    2.2402e-08 |
| GRB100811108 |                   2.597 |   0.384 |         0.091 | 1.080098e-05 | 7.783727e-07 |   1.8798e-08 |    1.8798e-08 |
| GRB100805300 |                   7.203 |   0.064 |         0.072 | 3.943716e-06 | 6.288062e-07 |   7.3536e-08 |    7.3536e-08 |
| GRB100629801 |                  19.234 |   0.832 |         0.373 | 3.334302e-06 | 4.993865e-07 |   1.0523e-07 |    1.0523e-07 |
| GRB100625773 |                  18.541 |    0.24 |         0.276 | 5.998001e-06 |  7.19017e-07 |   2.4515e-08 |    2.4515e-08 |
| GRB100616773 |                  18.542 |   0.192 |         0.143 | 1.458082e-06 | 5.121339e-07 |   1.7306e-08 |    1.7306e-08 |
| GRB100612545 |                  13.073 |   0.576 |         0.181 | 5.737031e-06 | 6.845208e-07 |   3.4116e-08 |    3.4116e-08 |
| GRB100525744 |                  17.857 |   1.472 |         1.974 | 2.009933e-06 | 3.104601e-07 |   9.4815e-08 |    9.4815e-08 |
| GRB100516396 |                   9.511 |    0.64 |         0.487 | 7.974721e-07 |  2.99227e-07 |   1.8716e-08 |    1.8716e-08 |
| GRB100417166 |                   3.995 |   0.192 |         0.091 | 1.281937e-06 | 3.395733e-07 |   4.5356e-09 |    4.5356e-09 |
| GRB100328141 |                   3.379 |   0.384 |         0.143 |  4.79852e-06 | 6.676382e-07 |   2.3529e-08 |    2.3529e-08 |
| GRB100301068 |                   1.622 |    0.96 |         1.002 | 3.170885e-06 | 5.029397e-07 |   1.3531e-08 |    1.3531e-08 |
| GRB100216422 |                  10.117 |   0.192 |         0.143 | 2.397115e-06 | 4.292531e-07 |   1.4576e-08 |    1.4576e-08 |
| GRB100208386 |                   9.259 |   0.192 |         0.264 | 2.422454e-06 | 5.099664e-07 |   1.4529e-08 |    1.4529e-08 |
| GRB100206563 |                  13.501 |   0.176 |         0.072 | 9.402238e-06 | 7.232825e-07 |    1.054e-08 |     1.054e-08 |
| GRB100107074 |                   1.776 |   0.576 |         0.465 | 2.222522e-06 | 3.265959e-07 |   2.1333e-08 |    2.1333e-08 |
| GRB091223191 |                   4.586 |   0.576 |         0.181 | 1.278298e-06 |          0.0 |   4.1775e-09 |    4.1775e-09 |
| GRB091126333 |                    7.99 |   0.192 |         0.091 | 2.508798e-06 | 3.287698e-07 |   3.5619e-08 |    3.5619e-08 |
| GRB091019750 |                  18.011 |   0.208 |         0.172 | 1.388838e-06 | 3.553252e-07 |   6.1599e-09 |    6.1599e-09 |
| GRB091018957 |                  22.972 |   0.192 |         0.286 | 2.597299e-06 | 4.998482e-07 |   2.8541e-08 |    2.8541e-08 |
| GRB091012783 |                  18.784 |   0.704 |         2.499 | 1.072355e-05 | 8.431884e-07 |   4.4017e-08 |    4.4017e-08 |
| GRB090819607 |                  14.574 |   0.192 |         0.202 | 2.345004e-06 | 3.855182e-07 |   1.9464e-08 |    1.9464e-08 |
| GRB090802235 |                   5.651 |   0.128 |         0.091 | 7.164886e-06 | 7.118567e-07 |   3.5849e-08 |    3.5849e-08 |
| GRB090717111 |                   2.675 |   0.384 |         0.181 |   2.3853e-06 | 5.459327e-07 |   2.5877e-08 |    2.5877e-08 |
| GRB090621922 |                  22.124 |   0.384 |         1.032 | 2.880972e-06 | 4.141938e-07 |   1.9436e-08 |    1.9436e-08 |
| GRB090617208 |                     5.0 |   0.192 |         0.143 | 9.608136e-06 | 7.845945e-07 |   1.6608e-08 |    1.6608e-08 |
| GRB090429753 |                  18.066 |    0.64 |         0.466 | 1.011789e-06 | 6.647593e-08 |   4.3313e-08 |    4.3313e-08 |
| GRB090412061 |                   1.468 |   0.896 |         0.264 | 1.479539e-06 | 4.654503e-07 |   1.3569e-08 |    1.3569e-08 |
