| Swift name | Swift ID | BAT Trigger-time | BAT RA | BAT Dec | BAT Error-radius | BAT T90 | redshift | BAT Phoflux | BAT Phoflux_error | BAT fluence | BAT fluence_error |
|    100901A |   100901 |           13.569 |  1.817 |  22.751 |              2.6 |   439.0 |    1.408 |         0.8 |               0.2 |        21.0 |               2.3 |
|    100816A |   100816 |            0.631 | 23.449 |  26.568 |              0.8 |     2.9 |    0.803 |        10.9 |               0.3 |        20.0 |               0.8 |
|    100814A |   100814 |            3.836 |  1.499 |  -17.99 |              0.8 |   174.5 |     1.44 |         2.5 |               0.2 |        90.0 |               1.5 |
|    100728B |   100728 |           10.532 |  2.937 |   0.296 |              1.1 |    12.1 |      2.8 |         3.5 |               0.4 |        17.0 |               0.8 |
|    100728A |   100728 |            2.307 |  5.917 | -15.259 |              0.8 |   198.5 |    1.567 |         5.1 |               0.2 |       380.0 |               0.0 |
|    100724A |   100724 |            0.705 | 12.971 | -11.095 |              1.3 |     1.4 |    1.288 |         1.9 |               0.2 |         1.6 |               0.2 |
|    100704A |   100704 |            3.586 |  8.909 | -24.202 |              0.8 |   197.5 |      3.6 |         4.3 |               0.2 |        60.0 |               1.5 |
|    100621A |   100621 |            3.059 | 21.021 | -51.102 |              0.8 |    63.6 |    0.542 |        12.8 |               0.2 |       210.0 |               0.0 |
|    100615A |   100615 |            1.984 | 11.814 | -19.483 |              0.8 |    39.0 |    1.398 |         5.4 |               0.2 |        50.0 |               0.8 |
|    100513A |   100513 |            2.119 | 11.307 |   3.617 |              1.1 |    84.0 |    4.772 |         0.6 |               0.1 |        14.0 |               0.8 |
|    100425A |   100425 |            2.846 | 19.944 | -26.463 |              1.8 |    37.0 |    1.755 |         1.4 |               0.2 |         4.7 |               0.7 |
|    100424A |   100424 |           16.545 | 13.964 |   1.512 |              1.1 |   104.0 |    2.465 |         0.4 |               0.1 |        15.0 |               0.8 |
|    100418A |   100418 |           21.169 | 17.091 |  11.457 |              1.4 |     7.0 |    0.623 |         1.0 |               0.2 |         3.4 |               0.4 |
|    100413A |   100413 |           17.558 | 17.748 |  15.835 |              1.1 |   191.0 |      3.9 |         0.7 |               0.1 |        62.0 |               1.5 |
|    100316B |   100316 |            8.027 |   10.9 | -45.464 |              1.1 |     3.8 |     1.18 |         1.3 |               0.1 |         2.0 |               0.2 |
|    100302A |   100302 |           19.885 | 13.034 |  74.568 |              1.3 |    17.9 |    4.813 |         0.5 |               0.1 |         3.1 |               0.3 |
|    100219A |   100219 |           15.263 |  10.28 | -12.555 |              1.9 |    18.8 |      4.5 |         0.4 |               0.1 |         3.7 |               0.5 |
|    091208B |    91208 |            9.832 |  1.961 |  16.881 |              0.9 |    14.9 |    1.063 |        15.2 |               0.8 |        33.0 |               1.5 |
|     091127 |    91127 |           23.429 |  2.439 | -18.948 |              0.9 |     7.1 |     0.49 |        46.5 |               2.0 |        90.0 |               2.3 |
|    091109A |    91109 |            4.962 | 20.617 | -44.177 |              1.6 |    48.0 |      3.5 |         1.3 |               0.3 |        16.0 |               1.5 |
|     091029 |    91029 |            3.889 |  4.011 | -55.954 |              0.8 |    39.2 |    2.752 |         1.8 |               0.1 |        24.0 |               0.8 |
|     091024 |    91024 |            8.934 | 22.616 |  56.885 |              0.8 |   109.8 |    1.092 |         2.0 |               0.2 |        61.0 |               2.3 |
|     091020 |    91020 |           21.612 | 11.715 |  50.977 |              0.8 |    34.6 |     1.71 |         4.2 |               0.2 |        37.0 |               0.8 |
|     091018 |    91018 |           20.805 |  2.146 | -57.546 |              0.8 |     4.4 |    0.971 |        10.3 |               0.3 |        14.0 |               0.8 |
