|          z_sim |      L_cut__BATSE |      L_cut__Fermi |      L_cut__Swift |       L_cut__CZTI |
|  7.20721648649 |  5.8952435983e+52 | 5.49864460891e+52 | 8.92559669633e+52 | 6.01060788992e+53 |
|  7.30731657658 | 6.17310649733e+52 | 5.68814392047e+52 | 9.31983293116e+52 | 6.29293121107e+53 |
|  7.40741666667 | 6.46077859704e+52 | 5.88153122358e+52 | 9.72672770907e+52 | 6.58519990103e+53 |
|  7.50751675676 | 6.75850668032e+52 |  6.0788377822e+52 | 1.01465579885e+53 |  6.8876641916e+53 |
|  7.60761684685 | 7.06654179821e+52 | 6.28009493927e+52 |   1.057960469e+53 | 7.20057864055e+53 |
|  7.70771693694 | 7.38513924568e+52 | 6.48533409846e+52 | 1.10261525399e+53 | 7.52420213796e+53 |
|  7.80781702703 |  7.7145586104e+52 | 6.69458671776e+52 | 1.14864913126e+53 | 7.85879790139e+53 |
|  7.90791711712 | 8.05506383101e+52 | 6.90788413615e+52 | 1.19609135654e+53 | 8.20463358572e+53 |
|  8.00801720721 | 8.40692318589e+52 |  7.1252589754e+52 |  1.2449716953e+53 | 8.56198129783e+53 |
|   8.1081172973 | 8.77040940733e+52 | 7.34674188199e+52 | 1.29532030915e+53 | 8.93111768214e+53 |
|  8.20821738739 | 9.14579963133e+52 | 7.57236519414e+52 | 1.34716778931e+53 | 9.31232361927e+53 |
|  8.30831747748 | 9.53337549244e+52 | 7.80216069388e+52 | 1.40054515696e+53 | 9.70588498998e+53 |
|  8.40841756757 | 9.93342313349e+52 | 8.03616044241e+52 | 1.45548386671e+53 | 1.01120919649e+54 |
|  8.50851765766 | 1.03462332655e+53 | 8.27439653911e+52 | 1.51201581191e+53 | 1.05312394338e+54 |
|  8.60861774775 | 1.07721011481e+53 | 8.51690119533e+52 | 1.57017332566e+53 | 1.09636269212e+54 |
|  8.70871783784 | 1.12113266892e+53 | 8.76370670008e+52 |  1.6299891895e+53 | 1.14095586382e+54 |
|  8.80881792793 | 1.16642144091e+53 | 9.01484545015e+52 | 1.69149663243e+53 | 1.18693436092e+54 |
|  8.90891801802 |  1.2131073532e+53 | 9.27034993154e+52 | 1.75472933974e+53 | 1.23432954503e+54 |
|  9.00901810811 | 1.26122179643e+53 | 9.53025275105e+52 | 1.81972145126e+53 | 1.28317328001e+54 |
|   9.1091181982 | 1.31079663589e+53 | 9.79458659546e+52 | 1.88650756795e+53 | 1.33349788576e+54 |
|  9.20921828829 | 1.36186421373e+53 | 1.00633842492e+53 | 1.95512275631e+53 | 1.38533614738e+54 |
|  9.30931837838 |  1.4144573492e+53 | 1.03366786595e+53 | 2.02560255722e+53 |  1.4387214732e+54 |
|  9.40941846847 |   1.468609341e+53 | 1.06145027914e+53 | 2.09798297149e+53 | 1.49368755156e+54 |
|  9.50951855856 | 1.52435397539e+53 |  1.0896889769e+53 | 2.17230048687e+53 | 1.55026870376e+54 |
|  9.60961864865 | 1.58172552609e+53 | 1.11838728191e+53 | 2.24859206558e+53 | 1.60849970899e+54 |
|  9.70971873874 | 1.64075874825e+53 | 1.14754852684e+53 | 2.32689515315e+53 | 1.66841584454e+54 |
|  9.80981882883 |  1.7014888901e+53 | 1.17717606088e+53 | 2.40724769388e+53 | 1.73005288734e+54 |
|  9.90991891892 | 1.76395169599e+53 |  1.2072732242e+53 | 2.48968810174e+53 | 1.79344711194e+54 |
|   10.010019009 | 1.82818339857e+53 | 1.23784339473e+53 | 2.57425529875e+53 | 1.85863530116e+54 |
|  10.1101190991 | 1.89422072903e+53 | 1.26888994896e+53 |  2.6609887071e+53 | 1.92565473641e+54 |
|  10.2102191892 | 1.96210091286e+53 |  1.3004162718e+53 | 2.74992824438e+53 | 1.99454320827e+54 |
|  10.3103192793 | 2.03186167822e+53 | 1.33242576758e+53 | 2.84111432645e+53 | 2.06533901716e+54 |
|  10.4104193694 | 2.10354125196e+53 | 1.36492184344e+53 | 2.93458789343e+53 | 2.13808096683e+54 |
|  10.5105194595 | 2.17717835433e+53 | 1.39790792222e+53 | 3.03039039026e+53 | 2.21280837335e+54 |
|  10.6106195495 | 2.25281221077e+53 | 1.43138744012e+53 | 3.12856377197e+53 | 2.28956106556e+54 |
|  10.7107196396 | 2.33048256455e+53 | 1.46536384249e+53 | 3.22915051792e+53 | 2.36837937579e+54 |
|  10.8108197297 |  2.4102296372e+53 | 1.49984058602e+53 | 3.33219362808e+53 | 2.44930416181e+54 |
|  10.9109198198 | 2.49209416608e+53 | 1.53482113979e+53 | 3.43773662508e+53 | 2.53237677673e+54 |
|  11.0110199099 | 2.57611739146e+53 | 1.57030898528e+53 | 3.54582356557e+53 | 2.61763910249e+54 |
|       11.11112 | 2.66234105207e+53 | 1.60630761575e+53 | 3.65649903096e+53 | 2.70513352392e+54 |
|  11.2112200901 | 2.75080739609e+53 | 1.64282053477e+53 | 3.76980814294e+53 | 2.79490294525e+54 |
|  11.3113201802 | 2.84155917371e+53 | 1.67985126053e+53 | 3.88579655318e+53 | 2.88699077481e+54 |
|  11.4114202703 | 2.93463962959e+53 | 1.71740331921e+53 | 4.00451046496e+53 | 2.98144093428e+54 |
|  11.5115203604 | 3.03009251766e+53 | 1.75548025371e+53 | 4.12599661587e+53 |  3.0782978633e+54 |
|  11.6116204505 |  3.1279620935e+53 |  1.7940856147e+53 | 4.25030229795e+53 | 3.17760649998e+54 |
|  11.7117205405 | 3.22829311625e+53 | 1.83322296863e+53 | 4.37747533996e+53 | 3.27941230697e+54 |
|  11.8118206306 | 3.33113080869e+53 | 1.87289589134e+53 | 4.50756413556e+53 | 3.38376132054e+54 |
|  11.9119207207 | 3.43652094628e+53 | 1.91310797234e+53 | 4.64061763425e+53 | 3.49069975904e+54 |
|  12.0120208108 | 3.54450976006e+53 | 1.95386281095e+53 | 4.77668531698e+53 | 3.60027483856e+54 |
|  12.1121209009 | 3.65514397058e+53 | 1.99516402297e+53 | 4.91581727635e+53 | 3.71253395678e+54 |
|   12.212220991 | 3.76847083543e+53 |  2.0370152327e+53 | 5.05806410968e+53 | 3.82752507147e+54 |
|  12.3123210811 | 3.88453803771e+53 | 2.07942007798e+53 | 5.20347704979e+53 | 3.94529666833e+54 |
|  12.4124211712 | 4.00339377461e+53 |  2.1223822089e+53 |  5.3521078027e+53 | 4.06589769275e+54 |
|  12.5125212613 | 4.12508675372e+53 | 2.16590528838e+53 |  5.5040087233e+53 | 4.18937760729e+54 |
|  12.6126213514 | 4.24966610878e+53 | 2.20999298994e+53 | 5.65923256253e+53 | 4.31578635099e+54 |
|  12.7127214414 |   4.377181474e+53 | 2.25464900186e+53 | 5.81783321807e+53 | 4.44517434635e+54 |
