| Swift name | Swift ID | BAT Trigger-time | BAT RA | BAT Dec | BAT Error-radius | BAT T90 | BAT Phoflux | BAT Phoflux_error | BAT fluence | BAT fluence_error |
|    160425A |   160425 |           23.436 | 18.689 | -54.343 |              2.6 |  304.58 |         2.8 |               0.2 |        21.0 |               1.5 |
|    160424A |   160424 |           11.819 | 21.299 | -60.408 |              0.9 |     6.3 |         5.1 |               0.3 |        12.0 |               0.8 |
|    160419A |   160419 |           15.277 |  1.095 | -27.341 |              0.8 |     8.8 |         8.9 |               0.5 |        35.0 |               1.5 |
|    160417A |   160417 |            4.395 |  8.017 |   7.646 |              1.4 |    15.0 |         1.0 |               0.2 |         5.9 |               0.6 |
|    160412A |   160412 |            4.398 |  2.205 | -67.636 |              0.8 |    31.6 |         1.6 |               0.2 |        19.0 |               0.8 |
|    160411A |   160411 |            1.481 | 23.291 | -40.258 |              1.8 |    0.36 |         1.5 |               0.2 |         0.8 |               0.1 |
|    160410A |   160410 |            5.163 | 10.046 |   3.461 |              1.1 |     8.2 |         3.5 |               0.2 |         7.8 |               0.6 |
|    160408A |   160408 |            6.429 |  8.171 |  71.128 |              1.4 |    0.32 |         2.1 |               0.2 |         1.6 |               0.2 |
|    160327A |   160327 |            9.269 |   9.78 |  54.018 |              0.8 |    28.0 |         1.8 |               0.2 |        14.0 |               0.8 |
|    160325A |   160325 |            7.001 |  1.046 | -72.702 |              0.8 |    64.9 |         5.2 |               0.2 |        71.0 |               1.5 |
|    160321A |   160321 |           15.924 |  6.628 |   5.753 |              1.2 |    33.6 |         0.5 |               0.1 |         5.3 |               0.5 |
|    160314A |   160314 |           11.548 |  7.518 |  17.024 |              1.3 |    8.73 |         0.9 |               0.2 |         2.8 |               0.3 |
|    160313A |   160313 |            2.621 | 12.255 |  57.278 |              1.5 |    42.6 |         0.4 |               0.1 |         5.8 |               0.6 |
|    160303A |   160303 |           10.912 | 11.247 |   22.71 |              1.6 |     5.0 |         1.0 |               0.1 |         1.5 |               0.2 |
|    160228A |   160228 |           17.576 |  7.154 |  26.946 |              1.0 |   98.36 |         1.2 |               0.1 |        20.0 |               0.8 |
|    160227A |   160227 |           19.536 | 13.002 |  78.672 |              2.1 |   316.5 |         0.6 |               0.1 |        31.0 |               1.5 |
|    160225A |   160225 |           14.349 | 10.948 |  53.659 |              1.4 |   157.0 |         1.0 |               0.2 |        16.0 |               1.5 |
|    160223A |   160223 |             1.74 |   9.84 |   9.369 |              0.8 |   127.0 |         3.1 |               0.2 |        50.0 |               1.5 |
|    160220B |   160220 |           11.181 | 17.323 | -18.123 |              0.8 |    31.4 |         6.6 |               0.3 |        70.0 |               1.5 |
|    160220A |   160220 |            1.424 | 15.796 | -18.539 |              1.4 |     8.3 |         1.0 |               0.2 |         5.2 |               0.5 |
|    160216A |   160216 |           19.175 | 20.779 |  -71.55 |              0.8 |    11.0 |         7.3 |               0.4 |        20.0 |               0.8 |
|    160203A |   160203 |            2.219 | 10.798 | -24.772 |              1.3 |    20.2 |         1.3 |               0.3 |        12.0 |               0.8 |
|    160131A |   160131 |            8.342 |  5.211 |  -7.037 |              0.8 |   325.0 |         6.4 |               0.2 |       204.0 |               3.8 |
|    160127A |   160127 |            8.719 | 15.064 |    0.08 |              1.4 |    6.16 |         1.4 |               0.2 |         3.3 |               0.4 |
|    160123A |   160123 |            8.972 | 10.018 |  -33.79 |              1.2 |    3.95 |         1.3 |               0.2 |         3.5 |               0.3 |
|    160121A |   160121 |           13.844 |  7.272 |  -23.59 |              0.9 |    12.0 |         1.2 |               0.2 |         6.1 |               0.4 |
|    160119A |   160119 |            3.102 | 14.128 |  20.453 |              1.5 |   116.0 |         2.9 |               0.2 |        71.0 |               1.5 |
|    160117A |   160117 |           10.228 |  1.358 |  -0.677 |              1.4 |  118.58 |         1.4 |               0.2 |        31.0 |               1.5 |
|    160104A |   160104 |           11.403 |  5.121 |  11.334 |              1.3 |    16.2 |         1.0 |               0.2 |         4.0 |               0.4 |
|    151229A |   151229 |            6.841 | 21.958 | -20.732 |              0.8 |    1.78 |         7.2 |               0.3 |         5.9 |               0.3 |
|    151228B |   151228 |           22.787 | 22.962 |   8.081 |              0.8 |    48.0 |         1.0 |               0.2 |        24.0 |               0.8 |
|    151228A |   151228 |            3.087 | 14.268 | -17.665 |              1.4 |    0.27 |         0.9 |               0.2 |        0.84 |               0.1 |
|    151215A |   151215 |            3.024 |  6.241 |  35.529 |              2.1 |    17.8 |         1.6 |               0.2 |         3.1 |               0.5 |
|    151210A |   151210 |            3.216 |  4.339 | -71.225 |              1.4 |    94.9 |         0.8 |               0.2 |        13.0 |               1.5 |
|    151205B |   151205 |           21.721 |  2.746 | -43.461 |              1.7 |     1.4 |         0.7 |               0.2 |        0.77 |               0.1 |
|    151205A |   151205 |           15.767 | 15.286 |  35.767 |              1.0 |    62.8 |         0.6 |               0.1 |        14.0 |               0.8 |
|    151127A |   151127 |            9.147 |  1.311 | -82.762 |              2.1 |    0.19 |         0.4 |               0.1 |        0.23 |               0.0 |
|    151118A |   151118 |            3.108 |  3.811 |  65.889 |              1.1 |    23.4 |         1.2 |               0.1 |         4.5 |               0.5 |
|    151114A |   151114 |            9.993 |  8.063 | -61.033 |              1.4 |    4.86 |         2.9 |               0.3 |         3.7 |               0.5 |
|    151112A |   151112 |           13.747 |  0.137 |  -61.68 |              2.0 |   19.32 |         1.9 |               0.2 |         9.4 |               0.9 |
|    151111A |   151111 |            8.556 |   3.79 | -44.154 |              0.8 |   76.93 |         1.0 |               0.1 |        17.0 |               0.8 |
|    151031A |   151031 |            5.842 |  5.546 | -39.125 |              1.0 |     5.0 |         1.7 |               0.2 |         3.2 |               0.2 |
|    151029A |   151029 |            7.828 |  2.569 | -35.356 |              1.4 |    8.95 |         1.8 |               0.2 |         3.9 |               0.5 |
|    151027A |   151027 |            3.973 | 18.167 |  61.361 |              0.8 |  129.69 |         6.8 |               0.5 |        78.0 |               1.5 |
|    151023A |   151023 |           13.718 | 18.067 |  -8.289 |              1.4 |   10.66 |         1.1 |               0.2 |         2.6 |               0.3 |
|    151022A |   151022 |           14.109 | 23.282 |  55.812 |              1.7 |   116.7 |         0.8 |               0.2 |        11.0 |               1.5 |
|    151021A |   151021 |            1.487 |  22.51 | -33.189 |              0.8 |   110.2 |         9.7 |               0.6 |       280.0 |               7.6 |
|    151006A |   151006 |            9.917 |  9.828 |  70.508 |              0.8 |   203.9 |         2.6 |               0.2 |        69.0 |               1.5 |
|    151004A |   151004 |           18.151 | 14.241 | -64.956 |              1.7 |   128.4 |         0.4 |               0.1 |        10.0 |               0.8 |
|    151001B |   151001 |           18.493 | 22.465 |  64.637 |              1.6 |   109.0 |         0.5 |               0.2 |        14.0 |               1.5 |
|    151001A |   151001 |           15.073 | 15.581 |  10.984 |              0.8 |    8.94 |         1.3 |               0.2 |         6.7 |               0.4 |
|    150925A |   150925 |            4.158 | 15.169 |  -19.64 |              1.5 |   121.0 |         0.6 |               0.2 |        14.0 |               1.5 |
|    150915A |   150915 |           21.307 | 21.312 | -34.874 |              1.7 |   164.7 |         0.5 |               0.2 |         8.0 |               1.4 |
|    150911A |   150911 |           18.672 |  4.495 |   5.731 |              0.8 |     7.2 |         5.2 |               0.2 |        21.0 |               0.8 |
|    150910A |   150910 |             9.08 |  0.378 |  33.466 |              1.7 |   112.2 |         1.1 |               0.3 |        48.0 |               3.0 |
|    150907B |   150907 |           23.441 | 17.018 | -63.798 |              1.4 |    62.0 |         1.0 |               0.2 |        11.0 |               1.5 |
|    150831B |   150831 |           22.324 | 18.069 | -27.243 |              1.5 |     6.2 |         6.1 |               0.8 |        14.0 |               1.5 |
|    150831A |   150831 |            10.57 | 14.736 | -25.619 |              1.0 |    1.15 |         3.4 |               0.2 |         3.8 |               0.2 |
|    150819A |   150819 |            0.836 |  2.823 |   9.787 |              2.1 |    52.1 |         0.3 |               0.1 |         4.8 |               0.7 |
|    150818A |   150818 |           11.609 | 15.356 |  68.342 |              0.8 |   123.3 |         2.4 |               0.2 |        41.0 |               1.5 |
|    150817A |   150817 |            2.087 | 16.642 |  -12.05 |              0.8 |    38.8 |         9.6 |               0.2 |        59.0 |               0.8 |
|    150811A |   150811 |            4.102 | 19.423 | -15.434 |              1.4 |    34.0 |         0.5 |               0.2 |         4.9 |               0.6 |
|    150801B |   150801 |           22.697 |  5.531 |  -5.374 |              1.1 |   426.0 |         2.5 |               0.2 |        31.0 |               1.5 |
|    150728A |   150728 |           12.853 | 19.485 |  33.906 |              2.0 |    0.83 |         0.5 |               0.1 |        0.33 |               0.1 |
|    150727A |   150727 |           19.034 | 13.598 |  -18.32 |              0.8 |    88.0 |         1.0 |               0.2 |        37.0 |               1.5 |
|    150724A |   150724 |            5.776 |  6.503 | -19.147 |              1.4 |   280.0 |         0.9 |               0.2 |        22.0 |               1.5 |
