|   Fermi name | Fermi ID | GBM Trigger-time | GBM RA | GBM Dec | GBM Error-radius | GBM T90 | GBM T90_error |     GBM flux | GBM flux_error | GBM fluence | GBM fluence_error |    Epeak | Epeak_error |        alpha | alpha_error |      beta |     beta_error |
| GRB161227498 |   161227 |           11.955 |    5.3 |   39.15 |             4.88 |    2.56 |          1.68 | 7.854463e-07 |   8.929764e-08 |  1.0216e-06 |        2.5799e-08 | 136.0643 |    21.37696 |   -0.1536092 |   0.2518495 | -2.593916 |      0.9912956 |
| GRB161220605 |   161220 |           14.527 |    9.2 |  -29.16 |             2.09 |  41.729 |         2.611 | 1.390575e-06 |   7.442591e-08 |  8.9475e-06 |         4.202e-08 | 121.5383 |    21.08383 |    -0.475829 |   0.1877258 | -2.127011 |      0.2021551 |
| GRB161218356 |   161218 |            8.545 | 23.909 |  -16.95 |              1.0 |  25.857 |         0.362 | 9.326328e-06 |   1.544932e-07 |  8.5674e-05 |        3.3245e-08 | 192.1165 |     6.32103 |   -0.4525253 |  0.03446877 | -2.874455 |      0.1777237 |
| GRB161218222 |   161218 |            5.323 |  7.011 |  -19.67 |             5.75 |    0.32 |         0.516 | 8.229914e-06 |   6.540116e-07 |  7.2576e-07 |        2.5648e-08 | 2041.903 |    377.6876 |   -0.3993973 |   0.1386582 |  -5.47415 |       11.86931 |
| GRB161214722 |   161214 |           17.336 |  0.203 |   14.12 |             5.63 |   23.04 |         1.379 | 4.285674e-07 |   6.359612e-08 |  3.1474e-06 |        3.1944e-08 | 61.47888 |    21.89879 |   -0.6636204 |   0.6876402 | -1.858465 |      0.4249465 |
| GRB161212652 |   161212 |            15.65 |  1.663 |   68.23 |              8.5 |   2.816 |          0.32 | 2.891829e-07 |   1.360895e-07 |  4.5965e-07 |        2.4917e-08 |  313.465 |     248.772 |   -0.6571744 |   0.6376975 | -4.882812 |        131.679 |
| GRB161210524 |   161210 |           12.565 | 18.875 |   63.05 |            10.11 |   2.304 |         2.862 | 4.991966e-07 |    8.18535e-08 |  5.5857e-07 |        2.3896e-08 | 274.1437 |    81.78076 |   -0.4894685 |   0.3273689 | -2.237441 |       218.3656 |
| GRB161207813 |   161207 |           19.523 |  3.919 |   15.73 |             6.46 |  36.352 |         3.114 | 3.029749e-07 |    6.92917e-08 |  4.3269e-06 |        6.7651e-08 |  68.7467 |    51.53246 |   -0.6639345 |   0.5881688 | -2.192088 |       11.42511 |
| GRB161207224 |   161207 |             5.38 | 19.654 |   -9.93 |            18.01 |   8.192 |         3.258 | 3.414678e-07 |   6.814814e-08 |   2.939e-07 |        3.0406e-08 | 384.7737 |    370.5308 |   -0.3135075 |   0.5825588 |  -1.50951 |      0.2887821 |
| GRB161206064 |   161206 |            1.541 |  0.063 |  -34.02 |              1.0 |  33.537 |          1.28 | 3.423525e-06 |   1.317495e-07 |  3.7214e-05 |        3.8705e-08 | 563.3084 |    60.17783 |   -0.8266597 |  0.05020261 | -7.690175 |       401.0978 |
| GRB161201342 |   161201 |            8.216 | 23.249 |  -17.11 |             4.04 |    12.8 |         1.846 | 4.892591e-07 |   5.910469e-08 |  1.7666e-06 |        2.7947e-08 |  64.9693 |    13.54581 |   -0.2039181 |   0.5633708 | -1.886096 |      0.1734011 |
| GRB161129300 |   161129 |            7.194 | 21.082 |  32.136 |            0.001 |  36.096 |         0.724 | 8.389596e-07 |   8.916533e-08 |  6.5385e-06 |        4.3002e-08 | 275.5368 |    58.74482 |   -0.8779568 |   0.1441641 | -13.78125 |      1629616.0 |
| GRB161128216 |   161128 |            5.196 | 17.495 |  -46.05 |            10.03 |   6.912 |         2.919 | 3.913846e-07 |   6.846105e-08 |  7.2345e-07 |        1.7491e-08 | 265.2884 |    114.5583 |    -1.325401 |   0.2313801 | -7.630664 |       6285.049 |
| GRB161119633 |   161119 |           15.185 |  3.146 |  -47.21 |             3.27 |  77.824 |          2.36 | 3.570071e-07 |   1.195164e-07 |  6.8453e-06 |        5.8008e-08 |  107.038 |    27.56269 |    -1.250347 |   0.1722863 | -4.126261 |       26.94648 |
| GRB161117066 |   161117 |            1.592 |  21.47 |  -29.61 |             0.02 | 122.178 |         0.659 | 7.345907e-07 |    7.91886e-08 |  3.1218e-05 |        1.0679e-07 | 70.51263 |    7.182095 |   -0.8129429 |   0.1804556 | -3.131097 |       29.20988 |
| GRB161112496 |   161112 |           11.908 | 18.588 |    8.58 |              5.8 |  71.422 |         2.187 |  6.79849e-07 |   8.476792e-08 |  3.6138e-06 |        4.8691e-08 |  391.935 |    106.8838 |    -1.024349 |   0.1180552 | -4.595379 |       54.51723 |
| GRB161109263 |   161109 |            6.313 | 10.524 |    61.8 |              0.3 |  23.552 |         1.379 | 3.456624e-06 |   1.239552e-07 |  2.0917e-05 |        6.0081e-08 | 345.2018 |    39.91489 |   -0.5276995 |  0.08083367 | -2.298152 |      0.3132892 |
| GRB161106786 |   161106 |           18.861 | 18.969 |  -60.65 |             6.59 |  12.544 |         2.862 | 3.739186e-07 |   5.377313e-08 |  1.2292e-06 |        2.1933e-08 | 82.74908 |    11.74161 |  -0.02557756 |   0.4366261 | -2.936454 |      0.7078966 |
| GRB161106499 |   161106 |           11.965 |  13.47 |   64.88 |              1.5 |  10.752 |         0.362 | 2.157236e-06 |   9.825319e-08 |  1.4519e-05 |        2.6616e-08 | 179.5854 |    12.59374 |   -0.5213348 |   0.0588513 | -4.061609 |       866.2899 |
| GRB161105417 |   161105 |           10.014 | 16.617 | -65.217 |           5.7167 |  41.473 |         1.086 |  1.69752e-06 |   9.008634e-08 |  9.5415e-06 |        3.5973e-08 |  410.578 |    113.5374 |   -0.9872667 |  0.09097147 | -1.959396 |       0.338556 |
| GRB161026373 |   161026 |            8.955 |  4.513 |   41.85 |            11.68 |   0.112 |          0.21 | 1.052728e-06 |   3.727172e-07 |  1.4382e-07 |         1.599e-08 |  207.184 |    57.72955 |  -0.01767558 |   0.4277345 | -3.564968 |       7.207511 |
| GRB161020767 |   161020 |           18.412 |  2.171 |  -58.23 |             3.61 |  22.078 |         0.602 | 9.266651e-07 |   8.655305e-08 |  4.9986e-06 |        4.1166e-08 | 171.1834 |    28.28465 |    -0.397829 |    0.201825 | -2.506238 |       62.95924 |
| GRB161020759 |   161020 |            18.22 |  4.406 |  -75.65 |              1.2 |   24.32 |         1.557 |  4.15285e-06 |   1.260995e-07 |  2.9248e-05 |        5.4688e-08 | 209.3609 |    13.38571 |   -0.3754135 |   0.0648677 | -3.218036 |       3.235085 |
| GRB161017745 |   161017 |           17.869 |  9.518 |  43.142 |             0.05 |  32.256 |         8.083 | 7.984749e-07 |   1.087609e-07 |  5.4183e-06 |          1.25e-07 | 416.6937 |    138.0267 |    -1.229788 |   0.1424991 | -5.099497 |       123.8307 |
| GRB161015710 |   161015 |           17.052 | 17.943 |   30.19 |             0.21 |  15.104 |         0.362 | 2.083957e-06 |    1.08861e-07 |   1.142e-05 |         2.228e-08 | 316.8271 |    23.16757 |   -0.5397047 |  0.07015341 | -5.680471 |       42.35355 |
| GRB161015400 |   161015 |              9.6 | 11.363 |    58.2 |            15.13 |   0.192 |         0.847 | 1.866644e-06 |   3.822944e-07 |   1.071e-07 |        2.0115e-08 | 256.7502 |    119.2586 |  -0.02085881 |   0.6082842 | -1.804793 |      0.6146476 |
| GRB161014522 |   161014 |           12.521 | 22.177 |   7.469 |           0.0005 |  36.609 |         1.493 | 7.285402e-07 |    7.23499e-08 |  6.0981e-06 |        4.6691e-08 | 202.0655 |    27.06123 |   -0.5176876 |   0.1278938 | -11.96093 |       154897.1 |
| GRB161013948 |   161013 |           22.744 |  7.287 |   -7.86 |             5.02 |  34.816 |         2.769 | 3.050412e-07 |   8.058832e-08 |  1.1549e-06 |         2.787e-08 | 368.7454 |    158.8642 |   -0.3110543 |   0.5204026 | -11.17587 |       96778.92 |
| GRB161012637 |   161012 |           15.287 | 10.695 |  -74.28 |             8.18 |     6.4 |         3.114 | 2.834412e-07 |   4.870204e-08 |  6.1394e-07 |        2.5983e-08 | 34.19144 |    7.171501 |     3.307982 |     5.92375 | -1.791961 |      0.1821166 |
| GRB161012416 |   161012 |            9.973 |  0.018 |   13.58 |             7.14 |  44.288 |         3.328 | 3.573859e-07 |   6.738303e-08 |  1.5811e-06 |        3.3118e-08 | 233.4148 |    141.5648 |  -0.02764311 |   0.4902645 | -2.296073 |       84.14157 |
| GRB161009651 |   161009 |           15.635 |  7.455 |   12.55 |             4.35 |   92.16 |         4.104 | 3.168954e-07 |   7.014195e-08 |  6.0674e-06 |        3.2843e-08 | 105.9291 |    46.57666 |   -0.6410194 |    0.436425 | -2.093994 |       1.212665 |
| GRB161007009 |   161007 |            0.223 |  8.641 |    7.81 |            11.42 |   30.72 |         2.919 | 1.105085e-07 |   7.133979e-08 |  1.1235e-06 |        3.7851e-08 | 143.0108 |    55.74561 |    0.4630784 |   0.9010776 |  -5.01992 |       39.91823 |
| GRB161004964 |   161004 |           23.132 |  7.477 | -39.895 |            0.005 |   14.08 |         0.923 | 2.387236e-06 |   9.784324e-08 |  1.7557e-05 |        5.5262e-08 | 172.7153 |    21.16985 |   -0.4704297 |   0.1250448 | -2.292336 |      0.3035834 |
| GRB161001045 |   161001 |            1.088 |  4.795 | -57.261 |            0.001 |    2.24 |         0.232 | 1.559288e-06 |   1.068464e-07 |  1.7635e-06 |        1.5212e-08 | 441.6991 |    57.08487 |   -0.7256718 |  0.09302208 | -13.31482 |       349696.0 |
| GRB160929529 |   160929 |           12.691 | 22.682 |   22.79 |             9.26 |   4.864 |         0.724 | 1.765569e-07 |   3.629821e-08 |  8.6507e-07 |        2.5276e-08 | 151.4854 |     34.8332 |    0.3317544 |    0.756172 | -23.28306 |   7824729000.0 |
| GRB160928825 |   160928 |           19.801 |  8.693 |    8.14 |             3.19 |   6.141 |         0.572 | 1.304536e-06 |   1.012607e-07 |  5.4354e-06 |        5.1434e-08 | 198.5531 |    33.07672 |   -0.8248884 |  0.09379774 | -3.139096 |       645.8016 |
| GRB160925221 |   160925 |            5.316 | 23.225 |  -20.42 |             5.45 |  50.944 |         7.718 | 1.606846e-07 |   7.000134e-08 |  2.3202e-06 |        2.4223e-08 | 193.8137 |    86.00942 |   -0.8411534 |   0.4884673 | -2.852093 |       6.071416 |
| GRB160922856 |   160922 |           20.541 | 23.207 |   43.57 |            10.05 |  20.736 |         4.944 | 1.515514e-07 |   7.989432e-08 |  8.6922e-07 |        2.4404e-08 |  90.5215 |     18.3508 |   -0.3028878 |   0.4055413 | -11.06873 |       37662.39 |
| GRB160921087 |   160921 |            2.087 |  17.13 |  -22.68 |             6.35 |  48.384 |         1.619 | 3.345218e-07 |   6.242204e-08 |  3.1887e-06 |        4.7392e-08 | 47.74955 |    32.05956 |    -1.866586 |   0.2141554 | -6.321849 |       6752.673 |
| GRB160919858 |   160919 |           20.594 | 21.754 |   21.44 |             3.23 |  79.104 |         2.318 | 1.977884e-07 |   6.641072e-08 |  1.6753e-06 |        1.9458e-08 | 81.14877 |    31.91691 |    0.5655537 |    1.099514 | -2.538059 |        3.38377 |
